group,rel_week,mean_xgd,sem
Control,-8.0,-0.31036960985626283,0.07590659342576486
Control,-7.0,-0.12291836734693877,0.0719650761912003
Control,-6.0,-0.3438276553106212,0.07080737499271354
Control,-5.0,-0.2333,0.07167773164957761
Control,-4.0,-0.13848790322580645,0.07781059766210911
Control,-3.0,-0.1792827868852459,0.07396685340404337
Control,-2.0,-0.3264449064449065,0.0754705733107561
Control,-1.0,-0.17033755274261603,0.07325018578927231
Control,0.0,-0.16397872340425534,0.07631938455506104
Control,1.0,-0.25837662337662337,0.08110351243971803
Control,2.0,-0.25306521739130433,0.07751747467874368
Control,3.0,-0.2705458515283843,0.07295742977306069
Control,4.0,-0.220242825607064,0.07957364046232934
Control,5.0,-0.2963555555555556,0.0829203015393692
Control,6.0,-0.09877828054298642,0.07704775662225824
Control,7.0,-0.2761981566820277,0.08359306431163771
Control,8.0,-0.29269320843091334,0.07382895188366058
Control,9.0,-0.28179176755447943,0.07915535896684499
Control,10.0,-0.020426065162907275,0.07822699920454133
Control,11.0,-0.1826439790575916,0.08857335591584119
Control,12.0,-0.21204481792717086,0.09064718536957418
Fired,-8.0,-0.15935727788279772,0.07662243768890328
Fired,-7.0,-0.21376181474480152,0.07336201869130496
Fired,-6.0,-0.06785185185185186,0.07189369266183852
Fired,-5.0,-0.34525925925925927,0.07089793430165618
Fired,-4.0,-0.24037593984962405,0.06584846140134054
Fired,-3.0,-0.37224761904761905,0.07461846606112728
Fired,-2.0,-0.5143269230769231,0.07061200955273109
Fired,-1.0,-0.5118307086614173,0.07583085366410347
Fired,0.0,-0.6781656804733728,0.07969916173796401
Fired,1.0,0.04732608695652174,0.07283841918066362
Fired,2.0,-0.14188183807439825,0.08297689081590562
Fired,3.0,-0.29104347826086957,0.07682092476049275
Fired,4.0,-0.07633187772925765,0.07632060424505682
Fired,5.0,0.04356828193832599,0.07428609896434182
Fired,6.0,-0.04209821428571429,0.07491020203737386
Fired,7.0,-0.06275395033860046,0.07411934714099325
Fired,8.0,0.04321266968325791,0.07824139280332369
Fired,9.0,-0.08140229885057472,0.08119711363242467
Fired,10.0,-0.158910411622276,0.08618399917474394
Fired,11.0,0.03736040609137055,0.07592372368794288
Fired,12.0,-0.13096256684491978,0.08771852443883628
